,AR=0.0,AR=0.1,AR=0.2,AR=0.3,AR=0.4,AR=0.5,AR=0.6,AR=0.7,AR=0.8,AR=0.9,AR=1.0
83,827.0,858.0,879.0,904.0,915.0,927.0,947.0,961.0,975.0,982.0,1000.0
84,835.0,859.0,885.0,911.0,927.0,938.0,946.0,959.0,970.0,979.0,1000.0
85,864.0,880.0,897.0,916.0,927.0,940.0,955.0,963.0,973.0,979.0,1000.0
86,850.0,871.0,887.0,904.0,916.0,927.0,944.0,952.0,961.0,970.0,1000.0
87,854.0,878.0,904.0,920.0,929.0,941.0,952.0,964.0,974.0,982.0,1000.0
88,851.0,876.0,908.0,922.0,935.0,947.0,962.0,967.0,977.0,989.0,1000.0
89,854.0,874.0,886.0,907.0,919.0,931.0,946.0,961.0,970.0,975.0,1000.0
90,846.0,872.0,889.0,903.0,918.0,932.0,946.0,958.0,969.0,974.0,1000.0
91,861.0,877.0,888.0,912.0,930.0,939.0,951.0,962.0,972.0,978.0,1000.0
92,859.0,879.0,890.0,902.0,916.0,935.0,947.0,960.0,973.0,979.0,1000.0
93,868.0,891.0,908.0,921.0,940.0,951.0,960.0,965.0,973.0,978.0,1000.0
94,850.0,872.0,885.0,907.0,932.0,941.0,958.0,964.0,977.0,982.0,1000.0
95,869.0,898.0,910.0,924.0,937.0,951.0,957.0,966.0,973.0,982.0,1000.0
96,864.0,885.0,907.0,919.0,932.0,948.0,962.0,972.0,983.0,986.0,1000.0
97,892.0,907.0,923.0,936.0,950.0,959.0,964.0,971.0,979.0,987.0,1000.0
98,872.0,898.0,911.0,926.0,935.0,944.0,953.0,964.0,974.0,981.0,1000.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
