Class                            Step     Epot[eV]   AcptRate
Canonical                          65   -2794.0151      0.714
Canonical                          66   -2793.8998      0.714
Canonical                          67   -2793.8425      0.429
Canonical                          68   -2793.9293      0.714
Canonical                          69   -2793.8004      0.857
Canonical                          70   -2793.9340      0.857
Canonical                          71   -2793.9563      0.429
Canonical                          72   -2794.0680      0.714
Canonical                          73   -2794.1169      0.714
Canonical                          74   -2794.1554      0.571
Canonical                          75   -2794.1074      0.857
Canonical                          76   -2794.1387      0.714
Canonical                          77   -2794.0151      0.714
Canonical                          78   -2794.0499      0.714
Canonical                          79   -2793.9584      0.714
Canonical                          80   -2793.7709      0.571
Canonical                          81   -2793.7848      0.571
Canonical                          82   -2794.0073      0.571
Canonical                          83   -2794.1328      0.429
Canonical                          84   -2794.1206      0.571
Canonical                          85   -2793.8697      0.571
Canonical                          86   -2793.8568      0.714
Canonical                          87   -2793.9732      0.429
Canonical                          88   -2794.1651      0.714
Canonical                          89   -2794.1051      0.714
Canonical                          90   -2794.0906      0.714
Canonical                          91   -2793.9802      0.571
Canonical                          92   -2794.2681      0.429
Canonical                          93   -2794.1972      0.571
Canonical                          94   -2794.2994      0.571
Canonical                          95   -2794.2127      0.429
Canonical                          96   -2794.3827      1.000
Canonical                          97   -2794.3360      0.714
Canonical                          98   -2794.3189      0.571
Canonical                          99   -2793.9814      0.714
