Class                            Step     Epot[eV]   AcptRate
Canonical                           0   -2794.7298      0.000
Canonical                           1   -2794.4563      0.714
Canonical                           2   -2794.5889      0.857
Canonical                           3   -2794.5183      0.857
Canonical                           4   -2794.6113      0.714
Canonical                           5   -2794.5992      0.429
Canonical                           6   -2794.4787      0.571
Canonical                           7   -2794.4969      0.571
Canonical                           8   -2794.3790      0.714
Canonical                           9   -2794.3927      0.429
Canonical                          10   -2794.4534      0.857
Canonical                          11   -2794.4008      0.857
Canonical                          12   -2794.2925      0.714
Canonical                          13   -2794.4485      0.714
Canonical                          14   -2794.5031      0.714
Canonical                          15   -2794.4246      0.571
Canonical                          16   -2794.3892      0.429
Canonical                          17   -2794.3806      0.714
Canonical                          18   -2794.0606      0.714
Canonical                          19   -2794.1899      0.714
Canonical                          20   -2794.0206      0.857
Canonical                          21   -2793.9859      0.714
Canonical                          22   -2794.1376      0.857
Canonical                          23   -2794.1253      0.571
Canonical                          24   -2793.9994      0.571
Canonical                          25   -2794.0192      0.429
Canonical                          26   -2794.1123      0.714
Canonical                          27   -2794.1100      0.429
Canonical                          28   -2794.0338      0.571
Canonical                          29   -2793.8881      0.714
Canonical                          30   -2793.8709      0.714
Canonical                          31   -2794.0918      0.714
Canonical                          32   -2794.0449      0.857
Canonical                          33   -2793.9900      0.571
Canonical                          34   -2793.8741      0.857
Canonical                          35   -2793.9378      1.000
Canonical                          36   -2793.7132      1.000
Canonical                          37   -2794.0597      0.857
Canonical                          38   -2794.3289      0.714
Canonical                          39   -2794.3315      0.571
Canonical                          40   -2794.0619      0.857
Canonical                          41   -2794.0644      0.571
Canonical                          42   -2794.1531      0.571
Canonical                          43   -2794.2827      0.571
Canonical                          44   -2794.3311      0.429
Canonical                          45   -2794.2683      0.857
Canonical                          46   -2794.3277      0.714
Canonical                          47   -2794.1830      0.857
Canonical                          48   -2794.2043      0.571
Canonical                          49   -2794.2407      0.714
Canonical                          50   -2794.0803      0.571
Canonical                          51   -2794.1719      0.857
Canonical                          52   -2794.3171      0.571
Canonical                          53   -2794.2807      0.714
Canonical                          54   -2794.5063      0.429
Canonical                          55   -2794.4484      0.571
Canonical                          56   -2794.3651      0.571
Canonical                          57   -2794.3498      0.571
Canonical                          58   -2794.2491      0.571
Canonical                          59   -2794.0764      0.857
Canonical                          60   -2793.9830      0.714
Canonical                          61   -2793.9369      0.571
Canonical                          62   -2794.1380      0.429
Canonical                          63   -2793.9669      0.571
Canonical                          64   -2794.0384      1.000
Canonical                          65   -2793.9937      0.571
Canonical                          66   -2793.8276      0.571
Canonical                          67   -2794.0252      0.714
Canonical                          68   -2794.2240      0.714
Canonical                          69   -2794.2371      0.714
Canonical                          70   -2794.2672      0.714
Canonical                          71   -2794.2480      0.714
Canonical                          72   -2794.1265      0.857
Canonical                          73   -2794.1865      0.714
Canonical                          74   -2794.1069      1.000
Canonical                          75   -2793.9259      0.714
Canonical                          76   -2794.0891      1.000
Canonical                          77   -2793.9954      0.857
Canonical                          78   -2794.1402      0.429
Canonical                          79   -2794.1581      0.714
Canonical                          80   -2794.0290      0.857
Canonical                          81   -2793.9775      1.000
Canonical                          82   -2793.9748      0.714
Canonical                          83   -2793.9696      0.857
Canonical                          84   -2793.8936      0.714
Canonical                          85   -2793.8359      0.571
Canonical                          86   -2793.8618      1.000
Canonical                          87   -2794.0887      0.714
Canonical                          88   -2794.2209      0.571
Canonical                          89   -2794.2938      0.714
Canonical                          90   -2794.1514      1.000
Canonical                          91   -2794.1872      0.714
Canonical                          92   -2794.0742      0.429
Canonical                          93   -2794.1110      0.857
Canonical                          94   -2794.1392      0.714
Canonical                          95   -2794.1387      0.714
Canonical                          96   -2794.0808      0.714
Canonical                          97   -2793.9041      0.714
Canonical                          98   -2793.8082      0.429
Canonical                          99   -2793.9352      0.571
Canonical                         100   -2793.9276      0.429
